Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time
paleo,Herbed Rack of Lamb,middle eastern,35.36,6.76,133.82,2022-10-16,17:21:18
paleo,Moroccan Braised Chicken and Kale,middle eastern,283.65,89.99,306.29,2022-10-16,17:21:18
paleo,Roasted Tomato Soup,italian,39.32,88.7,50.97,2022-10-16,17:21:18
paleo,Sweet Plantain Guacamole,south american,19.18,134.0,138.71,2022-10-16,17:21:18
paleo,Turkey Spaghetti Zoodles,american,122.69,96.81,51.15,2022-10-16,17:21:18
paleo,Celery Leaf & Fennel Poached Salmon,nordic,32.41,17.25,24.49,2022-10-16,17:21:18
paleo,Turkey Veggie Meatballs With Spaghetti Squash,american,122.78,147.94,51.84,2022-10-16,17:21:24
paleo,Asian Sesame Chicken & Broccoli,chinese,107.67,31.95,70.25,2022-10-16,17:21:24
paleo,Cauliflower Fried Rice,chinese,46.62,82.76,53.47,2022-10-16,17:21:24
paleo,Khoresht Lubia Sabz (Persian Green Bean Stew),american,121.29,69.51,49.55,2022-10-16,17:21:24
paleo,Cinnamon Chocolate Swirl Banana Bread,american,68.73,266.84,183.04,2022-10-16,17:21:24
paleo,Easy Pan Gravy,british,0.32,6.54,11.65,2022-10-16,17:21:24
paleo,Salsa Fresca estilo Siete,mexican,4.94,33.55,1.11,2022-10-16,17:21:24
paleo,Ginger Snap Pumpkin Butter Cookie Sandwiches,american,97.78,239.78,356.65,2022-10-16,17:21:24
paleo,Cauliflower Soup Drizzled with White Truffle Oil,french,41.9,64.07,37.95,2022-10-16,17:21:24
paleo,Apple Pumpkin Soup,american,9.95,64.53,19.56,2022-10-16,17:21:24
paleo,Easy Vegan Pad Thai Supreme,american,97.94,217.78,168.32,2022-10-16,17:21:24
paleo,Beef Chorizo con Huevo estilo Siete,mediterranean,133.92,12.88,92.88,2022-10-16,17:21:24
paleo,Angel Food Cake,american,55.09,283.94,5.02,2022-10-16,17:21:24
paleo,Asian Chicken Salad,asian,69.61,44.66,128.44,2022-10-16,17:21:24
paleo,Roasted Beef Tenderloin,american,349.89,10.57,130.34,2022-10-16,17:21:24
paleo,"Kale, Artichoke and Pecorino Salad",mediterranean,36.98,40.42,58.68,2022-10-16,17:21:24
paleo,Spicy Thai Peanut Kelp Noodle Pad Thai,south east asian,92.67,357.52,68.86,2022-10-16,17:21:24
paleo,Almond Meal Encrusted Chicken Nuggets - REAL FOOD Healing Recipe from Mee Tracy McCormick,american,191.06,25.06,137.85,2022-10-16,17:21:24
paleo,Artichoke Francaise,mediterranean,35.81,127.03,62.87,2022-10-16,17:21:31
paleo,Braised Short Rib Bolognese,italian,242.69,59.62,607.18,2022-10-16,17:21:31
paleo,Maialino's Olive Oil Cake (Adapted by Becca Fox),american,72.45,479.49,468.3,2022-10-16,17:21:31
paleo,Homemade Ravioli with Ricotta Cheese and Spinach Filling,italian,118.65,300.0,107.45,2022-10-16,17:21:31
paleo,Boneless Short Ribs on the BGE,french,392.64,12.51,472.92,2022-10-16,17:21:31
paleo,Ribollita,italian,66.67,180.22,111.67,2022-10-16,17:21:31
paleo,Pear and Apple Coffeecake with Walnut Topping,british,68.86,309.13,384.74,2022-10-16,17:21:31
paleo,Artichoke and Perfect Asparagus Salad with Lemony Herbed Vinaigrette,mediterranean,22.61,68.6,103.89,2022-10-16,17:21:31
paleo,Indian Spiced Broccoli and Potato Hash,nordic,9.39,47.36,10.47,2022-10-16,17:21:31
paleo,Vegan Dark Chocolate Coconut Tart,american,32.24,221.1,103.54,2022-10-16,17:21:31
paleo,Pork and Charred Brussels Sprouts with Chile Lime Sauce,south american,145.56,240.17,89.14,2022-10-16,17:21:31
paleo,Apple Fennel Casserole with a Coconut-Turmeric Twist,italian,5.6,46.5,18.34,2022-10-16,17:21:31
paleo,Slow-Cooker 'Osso Buco' Stew,italian,211.11,94.79,61.46,2022-10-16,17:21:31
paleo,Vegan Coconut Cream Tart with White Peaches and Blueberries,american,39.45,285.88,109.49,2022-10-16,17:21:31
paleo,Spiced Harvest Cake,british,65.92,455.58,158.29,2022-10-16,17:21:31
paleo,Paleo MeeNut™ Butter Sandwich on Paleo Bread™,american,0.93,3.08,24.31,2022-10-16,17:21:38
paleo,Low Carb Paleo Egg Wrap Recipe,american,16.71,28.5,15.85,2022-10-16,17:21:38
paleo,Paleo Nutella Banana Ice Cream,american,7.86,186.18,30.1,2022-10-16,17:21:38
paleo,Paleo Whole30 Pesto Chicken Salad,american,176.97,10.7,206.48,2022-10-16,17:21:38
paleo,The Elvis Paleo Sandwich Recipe,american,18.72,68.14,54.08,2022-10-16,17:21:38
paleo,Simple Paleo Reese’s Cups,american,69.56,157.94,257.36,2022-10-16,17:21:38
paleo,Paleo Meatloaf recipes,american,216.95,203.73,178.18,2022-10-16,17:21:38
paleo,Paleo Nacho Casserole,mexican,156.83,88.03,167.6,2022-10-16,17:21:38
paleo,Simple Paleo Coleslaw Dressing,mediterranean,6.76,17.01,89.82,2022-10-16,17:21:38
paleo,Paleo Bread Stuffing recipes,american,54.96,208.13,49.2,2022-10-16,17:21:44
paleo,Paleo deviled egg recipe,french,32.74,3.08,69.22,2022-10-16,17:21:44
paleo,Paleo Peppermint Bark,american,30.23,191.35,235.63,2022-10-16,17:21:44
paleo,Paleo Chipotle Dipping Sauce,mexican,2.14,15.79,116.27,2022-10-16,17:21:44
paleo,Paleo Wrap Carne Asada Recipe,mexican,159.24,75.82,62.53,2022-10-16,17:21:44
paleo,Homemade Paleo Protein Bars,american,368.04,500.49,210.84,2022-10-16,17:21:44
paleo,Paleo Tzatziki,mediterranean,2.82,17.07,13.93,2022-10-16,17:21:44
paleo,Paleo Pecan Pie Bars recipes,american,105.25,594.23,700.42,2022-10-16,17:21:44
paleo,Loaded Paleo Cauliflower Nachos recipes,mexican,52.93,75.7,131.7,2022-10-16,17:21:44
paleo,Gluten-Free Paleo Meatloaf recipes,eastern europe,170.21,136.35,196.93,2022-10-16,17:21:44
paleo,Paleo Broccoli Salad recipes,american,22.75,124.99,146.91,2022-10-16,17:21:44
paleo,Healthy Paleo Marble Cake recipes,american,42.18,245.32,90.32,2022-10-16,17:21:44
paleo,Paleo Deviled Eggs recipes,french,87.75,10.06,163.03,2022-10-16,17:21:51
paleo,Paleo Meatball Sub,american,57.04,62.66,77.65,2022-10-16,17:21:51
paleo,Paleo Egg Salad recipes,american,35.77,30.22,88.57,2022-10-16,17:21:51
paleo,"Caramel Caffe Latte (paleo, GF, dairy-free) recipes",american,3.28,32.7,15.37,2022-10-16,17:21:51
paleo,Smoky Paleo Deviled Eggs recipes,french,34.1,8.47,69.53,2022-10-16,17:21:51
paleo,Paleo Barbecue Beef and Bacon recipes,american,114.04,148.84,128.75,2022-10-16,17:21:51
paleo,Paleo Pad Thai with Zucchini Noodles,south east asian,3.5,40.81,0.36,2022-10-16,17:21:51
paleo,Paleo Sunbutter Cups recipes,french,0.1,32.29,27.63,2022-10-16,17:21:51
paleo,Paleo Quiche Cups,french,59.38,43.71,82.41,2022-10-16,17:21:51
paleo,Paleo Pecan Pie,american,41.28,497.12,285.89,2022-10-16,17:21:51
paleo,Paleo Smoked Tuna Salad recipes,american,24.83,19.77,90.32,2022-10-16,17:21:51
paleo,Paleo Lemon Mousse,french,17.82,77.84,84.12,2022-10-16,17:21:58
paleo,Paleo Aioli Salad Dressing,mediterranean,0.53,2.32,44.57,2022-10-16,17:21:58
paleo,Paleo Flourless Chocolate Cake recipes,american,80.48,404.46,410.21,2022-10-16,17:21:58
paleo,Paleo Flourless Chocolate Cake,american,55.16,123.66,244.31,2022-10-16,17:21:58
paleo,Paleo Chicken Salad with Dates & Walnuts {Whole30} recipes,mediterranean,97.63,88.59,98.0,2022-10-16,17:21:58
paleo,Paleo Blackberry Muffins recipes,american,43.48,81.37,88.44,2022-10-16,17:21:58
paleo,Paleo Crockpot Cashew Chicken recipes,italian,165.31,78.63,220.89,2022-10-16,17:21:58
paleo,Paleo Blackberry Instant Pot Cobbler,french,33.01,287.56,114.66,2022-10-16,17:21:58
paleo,Paleo Banana Bread French Toast,french,21.23,203.11,42.55,2022-10-16,17:21:58
paleo,Three-Ingredient Paleo Chocolate Truffles,french,23.43,183.78,200.78,2022-10-16,17:21:58
paleo,Toasted Egg Fiesta Paleo Wrap (Ketogenic),american,13.92,32.74,26.53,2022-10-16,17:21:58
paleo,Paleo Beef Stroganoff,eastern europe,215.13,36.63,68.05,2022-10-16,17:21:58
paleo,Paleo Whole30 Classic Egg Salad recipes,american,61.5,8.58,184.92,2022-10-16,17:21:58
paleo,Easy Paleo Meatloaf with Bacon,american,203.61,23.57,166.41,2022-10-16,17:21:58
paleo,"Gluten Free Beef and Tomato {Chinese Style, Paleo Option} recipes",chinese,107.83,56.13,81.39,2022-10-16,17:21:58
paleo,"Buffalo Ranch Chicken Salad Recipe {Paleo, Whole30 Compliant} recipes",american,145.57,27.22,152.88,2022-10-16,17:22:05
paleo,Paleo Crock Pot Pulled Pork recipes,american,255.11,99.29,170.32,2022-10-16,17:22:05
paleo,Papaya Chicken Paleo Wrap,british,40.75,33.63,35.28,2022-10-16,17:22:05
paleo,Paleo Vegan Enchilada Casserole,american,96.62,331.56,21.46,2022-10-16,17:22:05
paleo,"Blueberry Almond Mug Cake (Paleo, Gluten Free)",american,14.22,33.55,34.47,2022-10-16,17:22:05
paleo,Paleo Bang Bang Shrimp recipes,japanese,91.88,3.34,163.16,2022-10-16,17:22:05
paleo,"Creamy Roasted Sesame Dressing (Paleo, Whole30, Keto)",mediterranean,3.3,13.24,57.69,2022-10-16,17:22:05
paleo,Paleo Ranch Dressing and Dip recipes,american,1.77,5.8,190.1,2022-10-16,17:22:05
paleo,Smoked Salmon Paleo Wrap Bites,nordic,34.01,82.25,27.63,2022-10-16,17:22:05
paleo,Paleo Meatloaf,american,283.04,85.83,108.96,2022-10-16,17:22:05
paleo,Dairy-free Paleo Ranch Dressing,american,5.63,10.85,226.21,2022-10-16,17:22:05
paleo,Paleo Banana Chip Muffins recipes,american,95.83,139.93,188.95,2022-10-16,17:22:05
paleo,Creamy (yet Paleo) Cucumber Salad recipes,american,3.23,17.66,45.05,2022-10-16,17:22:12
paleo,Bunless Paleo Chicken BLTs recipes,american,97.48,19.3,119.43,2022-10-16,17:22:12
paleo,"Frittata with Sweet Potato, Sausage and Caramelized Onions (Paleo, Grain-Free) recipes",italian,126.61,109.21,188.1,2022-10-16,17:22:12
paleo,Paleo Tangy BBQ Pulled Pork,american,244.91,263.45,61.97,2022-10-16,17:22:12
paleo,Paleo Crab Cakes recipes,french,97.65,19.1,76.38,2022-10-16,17:22:12
paleo,Simple Paleo Coleslaw recipes,mediterranean,14.52,80.91,90.39,2022-10-16,17:22:12
paleo,"3 Ingredient Chocolate Walnut Fudge (Paleo, Vegan, Gluten Free, Dairy-Free)",american,48.8,126.11,160.21,2022-10-16,17:22:12
paleo,Paleo Whole30 Chicken Salad recipes,american,171.35,54.47,285.53,2022-10-16,17:22:12
paleo,Flourless Chocolate Peppermint Cake (Paleo and Low Carb) recipes,american,45.19,255.14,114.31,2022-10-16,17:22:12
paleo,Easy Paleo Fried Fish Sticks,french,106.13,43.27,214.62,2022-10-16,17:22:12
paleo,Paleo Cheese-Stuffed Meatballs,american,103.97,82.66,131.02,2022-10-16,17:22:12
paleo,"Paleo Shrimp, Bacon and Tomato Pasta Recip",italian,72.33,48.97,74.65,2022-10-16,17:22:12
paleo,Primal Organic Chicken Recipe In A Paleo Wrap,american,37.07,50.05,35.2,2022-10-16,17:22:12
paleo,Paleo Vegan Cherry Garcia Ice Cream,american,16.51,257.72,52.79,2022-10-16,17:22:12
paleo,Paleo Peach-Blueberry Cobbler recipes,american,42.38,245.47,161.24,2022-10-16,17:22:12
paleo,Paleo Sweet Potato Casserole,italian,38.03,1061.56,199.18,2022-10-16,17:22:18
paleo,Paleo Crab Cakes,american,32.3,14.14,106.85,2022-10-16,17:22:18
paleo,Cinnamon Raisin Paleo Bread Pudding recipes,british,74.2,336.36,139.83,2022-10-16,17:22:18
paleo,Paleo Chicken Piccata,french,38.49,111.57,127.66,2022-10-16,17:22:18
paleo,Paleo Barbecue Chicken Casserole recipes,italian,271.64,258.95,282.4,2022-10-16,17:22:18
paleo,Baked Ranch Chicken Tenders (Paleo + Whole30),american,105.57,129.65,146.59,2022-10-16,17:22:18
paleo,Chocolate Almond Buttercream Cups | PALEO,american,27.72,280.99,138.5,2022-10-16,17:22:18
paleo,Paleo Broccoli Salad,american,33.1,59.46,126.68,2022-10-16,17:22:18
paleo,Paleo Whole 30 Berry Chicken Salad,american,228.65,25.01,238.62,2022-10-16,17:22:18
paleo,"Cauliflower Fried ""Rice"" (Paleo)",chinese,26.48,44.85,16.65,2022-10-16,17:22:18
paleo,Paleo Pumpkin Bolognese,italian,83.7,41.66,96.89,2022-10-16,17:22:18
paleo,Paleo Egg Nog Cake recipes,british,62.83,159.42,66.35,2022-10-16,17:22:18
paleo,Easy Paleo Reese's™ Cups,french,61.73,259.06,224.92,2022-10-16,17:22:25
paleo,Paleo Cornbread Stuffing recipes,american,129.28,693.44,243.17,2022-10-16,17:22:25
paleo,Sloppy Joe's - Paleo & Whole30 recipes,french,94.68,90.81,85.8,2022-10-16,17:22:25
paleo,No-Bake Paleo Chocolate Chip Coconut Bars,american,74.81,272.62,518.78,2022-10-16,17:22:25
paleo,Portobello Mushroom Paleo Taco,italian,81.07,46.84,114.72,2022-10-16,17:22:25
paleo,Paleo BBQ Ranch Meatloaf,american,173.86,79.71,130.88,2022-10-16,17:22:25
paleo,Keto Paleo Tuna Taquitos Recipe,mexican,46.45,79.45,75.1,2022-10-16,17:22:25
paleo,Paleo Chocolate Coconut Milk Panna Cotta,italian,23.39,101.95,147.65,2022-10-16,17:22:25
paleo,"Slow Cooker Honey Peach Chipotle Meatballs (Gluten Free, Paleo) recipes",eastern europe,23.44,256.29,25.75,2022-10-16,17:22:25
paleo,Paleo Roasted Cabbage with Mustard Seed Dressing recipes,mediterranean,4.18,14.45,50.79,2022-10-16,17:22:25
paleo,Paleo Tuna Spinach Casserole recipes,italian,84.76,50.54,92.11,2022-10-16,17:22:25
paleo,Paleo Beef Stroganoff,eastern europe,130.93,70.55,203.75,2022-10-16,17:22:25
paleo,Slammin Wild Salmon Paleo Wrap Tumeric,nordic,95.18,45.51,55.22,2022-10-16,17:22:25
paleo,Vietnamese Spring Rolls (Paleo) recipes,south east asian,38.7,122.93,71.13,2022-10-16,17:22:25
paleo,Paleo Banana Muffins recipes,american,52.77,99.46,150.99,2022-10-16,17:22:25
paleo,Paleo Chicken Shawarma recipes,middle eastern,114.46,52.87,92.38,2022-10-16,17:22:25
